,ACTION,ACTION,ACTION,ACTION,ACTION,ACTION,ACTION,ACTION,ACTION,ACTION,ACTION,ACTION,ACTION,ACTION,ACTION,ACTION,ACTION,ACTION,ACTION,ACTION,ACTION,ACTION,ACTION,ACTION,ACTION,GOTO,GOTO,GOTO,GOTO,GOTO,GOTO,GOTO,GOTO,GOTO,GOTO,GOTO,GOTO,GOTO,GOTO,GOTO,GOTO,GOTO,GOTO,GOTO,GOTO
,$,ab_p,entao,escreva,fc_p,fim,fimrepita,fimse,id,inicio,inteiro,leia,lit,literal,num,opm,opr,pt_v,rcb,real,repita,se,varfim,varincio,vir,S',P,V,LV,D,L,TIPO,A,ES,ARG,CMD,LD,OPRD,COND,CAB,EXP_R,CP,R,CABR,CPR
35,['r24'],['r24'],['r24'],['r24'],['r24'],['r24'],['r24'],['r24'],['r24'],['r24'],['r24'],['r24'],['r24'],['r24'],['r24'],['r24'],['r24'],['r24'],['r24'],['r24'],['r24'],['r24'],['r24'],['r24'],['r24'],ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR
36,ERR,ERR,ERR,['s12'],ERR,ERR,ERR,['s39'],['s13'],ERR,ERR,['s11'],ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,['s16'],ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,['36'],ERR,['37'],ERR,ERR,['38'],['14'],ERR,['57'],ERR,ERR,ERR
37,ERR,ERR,ERR,['s12'],ERR,ERR,ERR,['s39'],['s13'],ERR,ERR,['s11'],ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,['s16'],ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,['36'],ERR,['37'],ERR,ERR,['38'],['14'],ERR,['58'],ERR,ERR,ERR
38,ERR,ERR,ERR,['s12'],ERR,ERR,ERR,['s39'],['s13'],ERR,ERR,['s11'],ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,['s16'],ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,['36'],ERR,['37'],ERR,ERR,['38'],['14'],ERR,['59'],ERR,ERR,ERR
39,['r30'],['r30'],['r30'],['r30'],['r30'],['r30'],['r30'],['r30'],['r30'],['r30'],['r30'],['r30'],['r30'],['r30'],['r30'],['r30'],['r30'],['r30'],['r30'],['r30'],['r30'],['r30'],['r30'],['r30'],['r30'],ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR
40,['r32'],['r32'],['r32'],['r32'],['r32'],['r32'],['r32'],['r32'],['r32'],['r32'],['r32'],['r32'],['r32'],['r32'],['r32'],['r32'],['r32'],['r32'],['r32'],['r32'],['r32'],['r32'],['r32'],['r32'],['r32'],ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR
41,ERR,ERR,ERR,['s12'],ERR,ERR,['s44'],ERR,['s13'],ERR,ERR,['s11'],ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,['s16'],ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,['41'],ERR,['42'],ERR,ERR,['43'],['14'],ERR,ERR,ERR,ERR,['60']
42,ERR,ERR,ERR,['s12'],ERR,ERR,['s44'],ERR,['s13'],ERR,ERR,['s11'],ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,['s16'],ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,['41'],ERR,['42'],ERR,ERR,['43'],['14'],ERR,ERR,ERR,ERR,['61']
43,ERR,ERR,ERR,['s12'],ERR,ERR,['s44'],ERR,['s13'],ERR,ERR,['s11'],ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,['s16'],ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,['41'],ERR,['42'],ERR,ERR,['43'],['14'],ERR,ERR,ERR,ERR,['62']
44,['r37'],['r37'],['r37'],['r37'],['r37'],['r37'],['r37'],['r37'],['r37'],['r37'],['r37'],['r37'],['r37'],['r37'],['r37'],['r37'],['r37'],['r37'],['r37'],['r37'],['r37'],['r37'],['r37'],['r37'],['r37'],ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR
45,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,['s55'],ERR,ERR,ERR,ERR,ERR,['s56'],ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,['64'],ERR,ERR,['63'],ERR,ERR,ERR,ERR
46,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,['s55'],ERR,ERR,ERR,ERR,ERR,['s56'],ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,['64'],ERR,ERR,['65'],ERR,ERR,ERR,ERR
47,['r3'],['r3'],['r3'],['r3'],['r3'],['r3'],['r3'],['r3'],['r3'],['r3'],['r3'],['r3'],['r3'],['r3'],['r3'],['r3'],['r3'],['r3'],['r3'],['r3'],['r3'],['r3'],['r3'],['r3'],['r3'],ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR
48,['r4'],['r4'],['r4'],['r4'],['r4'],['r4'],['r4'],['r4'],['r4'],['r4'],['r4'],['r4'],['r4'],['r4'],['r4'],['r4'],['r4'],['r4'],['r4'],['r4'],['r4'],['r4'],['r4'],['r4'],['r4'],ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR
49,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,['s66'],ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR
50,['r7'],['r7'],['r7'],['r7'],['r7'],['r7'],['r7'],['r7'],['r7'],['r7'],['r7'],['r7'],['r7'],['r7'],['r7'],['r7'],['r7'],['r7'],['r7'],['r7'],['r7'],['r7'],['r7'],['r7'],"['r7', 's67']",ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR
51,['r12'],['r12'],['r12'],['r12'],['r12'],['r12'],['r12'],['r12'],['r12'],['r12'],['r12'],['r12'],['r12'],['r12'],['r12'],['r12'],['r12'],['r12'],['r12'],['r12'],['r12'],['r12'],['r12'],['r12'],['r12'],ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR
52,['r13'],['r13'],['r13'],['r13'],['r13'],['r13'],['r13'],['r13'],['r13'],['r13'],['r13'],['r13'],['r13'],['r13'],['r13'],['r13'],['r13'],['r13'],['r13'],['r13'],['r13'],['r13'],['r13'],['r13'],['r13'],ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR
53,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,['s68'],ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR
54,['r20'],['r20'],['r20'],['r20'],['r20'],['r20'],['r20'],['r20'],['r20'],['r20'],['r20'],['r20'],['r20'],['r20'],['r20'],"['r20', 's69']",['r20'],['r20'],['r20'],['r20'],['r20'],['r20'],['r20'],['r20'],['r20'],ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR
55,['r21'],['r21'],['r21'],['r21'],['r21'],['r21'],['r21'],['r21'],['r21'],['r21'],['r21'],['r21'],['r21'],['r21'],['r21'],['r21'],['r21'],['r21'],['r21'],['r21'],['r21'],['r21'],['r21'],['r21'],['r21'],ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR
56,['r22'],['r22'],['r22'],['r22'],['r22'],['r22'],['r22'],['r22'],['r22'],['r22'],['r22'],['r22'],['r22'],['r22'],['r22'],['r22'],['r22'],['r22'],['r22'],['r22'],['r22'],['r22'],['r22'],['r22'],['r22'],ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR
57,['r27'],['r27'],['r27'],['r27'],['r27'],['r27'],['r27'],['r27'],['r27'],['r27'],['r27'],['r27'],['r27'],['r27'],['r27'],['r27'],['r27'],['r27'],['r27'],['r27'],['r27'],['r27'],['r27'],['r27'],['r27'],ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR
58,['r28'],['r28'],['r28'],['r28'],['r28'],['r28'],['r28'],['r28'],['r28'],['r28'],['r28'],['r28'],['r28'],['r28'],['r28'],['r28'],['r28'],['r28'],['r28'],['r28'],['r28'],['r28'],['r28'],['r28'],['r28'],ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR
59,['r29'],['r29'],['r29'],['r29'],['r29'],['r29'],['r29'],['r29'],['r29'],['r29'],['r29'],['r29'],['r29'],['r29'],['r29'],['r29'],['r29'],['r29'],['r29'],['r29'],['r29'],['r29'],['r29'],['r29'],['r29'],ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR
60,['r34'],['r34'],['r34'],['r34'],['r34'],['r34'],['r34'],['r34'],['r34'],['r34'],['r34'],['r34'],['r34'],['r34'],['r34'],['r34'],['r34'],['r34'],['r34'],['r34'],['r34'],['r34'],['r34'],['r34'],['r34'],ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR
61,['r35'],['r35'],['r35'],['r35'],['r35'],['r35'],['r35'],['r35'],['r35'],['r35'],['r35'],['r35'],['r35'],['r35'],['r35'],['r35'],['r35'],['r35'],['r35'],['r35'],['r35'],['r35'],['r35'],['r35'],['r35'],ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR
62,['r36'],['r36'],['r36'],['r36'],['r36'],['r36'],['r36'],['r36'],['r36'],['r36'],['r36'],['r36'],['r36'],['r36'],['r36'],['r36'],['r36'],['r36'],['r36'],['r36'],['r36'],['r36'],['r36'],['r36'],['r36'],ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR
